,content,sentiment_score,情感极性,情感极端性,外形设计,流量营销,混动车型,自研技术,市场环境,品牌形象
1,好好看！,0.777949077,1,0,1,0,0,0,0,0
2,比亚迪强啊,0.678982411,1,0,0,0,0,0,0,1
3,比亚迪原来这么牛逼我本来还看不起比亚迪先,0.794311091,1,0,0,0,0,0,0,1
4,我结婚准备买个这个好不好看,0.890899361,1,0,1,0,0,0,0,0
5,在国外对标保时捷,0.065187072,0,1,0,0,0,0,0,1
6,传统品牌做得好，新势力也并没有你说的那么差,0.513619252,1,0,0,0,0,1,0,0
7,我不管，我就是好喜欢,0.699459094,1,0,1,0,0,0,0,0
8,我就知道这个车牛逼 在外国这么贵,0.627059149,1,0,0,0,0,0,0,1
9,确实，内饰和车机是硬伤,0.162156131,0,0,1,0,0,0,0,0
10,想买这个了,0.526709625,1,0,1,0,0,0,0,0
11,比亚迪技术领先大品牌,0.795533671,1,0,0,0,0,0,0,1
12,蔚来暴雷了,0.162156131,0,0,1,0,0,0,0,0
13,传播正能量是对。但现在已经变味了,0.899624037,1,0,1,0,0,0,0,0
14,“买国产就是傻子”，可以拿这个说说段子嘛，总觉得多多少少有点制造内部矛盾的意思,0.36260329,0,0,0,0,1,0,0,0
15,用户思维这四个字说到关键点了，咱们自己的新势力很多品牌让我觉得不一样的地方就是有用户思维，国产加油！,0.728182436,1,0,0,0,0,0,1,0
16,一千公里，修三四次。,0.016556181,0,1,1,0,0,0,0,0
17,06年还是07年看到这个牌子，就不会买,0.605895896,1,0,0,0,0,0,1,0
18,0717我生日，我车也是这款,0.162156131,0,0,1,0,0,0,0,0
19,07dmp和唐dmp怎么选？,0.890899361,1,0,1,0,0,0,0,0
20,1.6L是满电状态前100公里油耗吧,0.380351856,0,0,0,1,0,0,0,0
21,1.6升是满电综合油耗 3.8升是亏电油耗 比亚迪确实有很多不足 但是性价比是最高的 不靠车撑门面的可以买,0.878935401,1,0,0,1,0,0,0,0
22,这是三元锂电池，不是刀片电池。,0.876073501,1,0,0,0,1,0,0,0
23,1000个人 一天400台 不太信,0.629577218,1,0,1,0,0,0,0,0
24,10买比亚迪 20买比亚迪 30万买比亚迪 40万买两台比亚迪,0.122086213,0,0,1,0,0,0,0,0
25,12福克斯也差不多这样胶条。没什么,0.180671925,0,0,0,1,0,0,0,0
26,13年换了三辆比亚迪，最大的缺点就是底盘，防打滑技术太差，其他方面都还不错,0.037270411,0,1,0,0,0,0,0,1
27,13年买车的时候去看了BYD，看了一下内饰，那大屏，直接放弃了。,0.890899361,1,0,1,0,0,0,0,0
28,1450/250日粉，美粉会攻击你,0.882414707,1,0,1,0,0,0,0,0
29,1450不少,0.5,1,0,1,0,0,0,0,0
30,1450加油加油加油加油,0.799996576,1,0,1,0,0,0,0,0
31,1450又对车下手了吗,0.602196167,1,0,1,0,0,0,0,0
