tsl情感,tsl主题,byd情感,byd主题
0.359941793,1,0.777949077,0
0.976365397,4,0.678982411,0
0.063429362,0,0.794311091,0
0.263807181,0,0.890899361,0
0.339569415,0,0.065187072,0
0.263807181,0,0.513619252,3
0.508696586,0,0.699459094,0
0.361111111,0,0.627059149,0
0.003204751,0,0.162156131,0
0.508696586,0,0.526709625,0
0.076828935,0,0.795533671,5
0.639525328,0,0.162156131,0
0.663052209,0,0.899624037,0
0.263807181,0,0.36260329,2
0.069915724,3,0.728182436,4
0.953505215,3,0.016556181,0
0.712643678,4,0.605895896,4
0.380553413,0,0.162156131,0
0.380553413,0,0.890899361,0
0.263807181,0,0.380351856,1
0.396490366,0,0.878935401,1
0.150217339,0,0.876073501,2
0.380553413,0,0.629577218,0
0.659628944,0,0.122086213,0
0.890139092,0,0.180671925,1
0.263807181,0,0.037270411,5
0.380553413,0,0.890899361,0
0.209995267,5,0.882414707,0
0.209995267,5,0.5,0
0.209995267,5,0.799996576,0
0.209995267,5,0.602196167,0
0.209995267,5,0.41592351,1
0.209995267,5,0.421086361,4
0.209995267,5,0.141019654,1
0.209995267,5,0.997876895,3
0.069915724,3,0.775989351,4
0.166729241,6,0.449177231,0
0.049594764,0,0.086804364,1
0.042959466,0,0.890899361,0
0.159934461,0,0.542150574,0
0.95461565,2,0.378740722,2
0.038567884,0,0.000439574,0
0.352114348,1,0.336458914,0
0.380553413,0,0.117956075,0
0.380553413,0,0.999992371,2
0.871089994,0,0.627111487,1
0.5,0,0.279399091,5
0.511523491,0,0.205586772,1
0.966979412,0,0.5,0
0.966979412,0,0.521597335,0
0.966979412,0,0.020254259,0
0.966979412,0,0.016556181,0
0.213303404,0,0.827902385,2
0.975753036,3,0.449177231,0
0.357882563,0,0.102288696,0
0.263807181,0,1.81E-06,0
0.232751152,0,0.162156131,0
0.135613314,0,0.004206522,0
0.08345591,0,0.025191603,0
0.224565996,0,0.890899361,0
0.316617693,0,0.289234664,1
0.263807181,0,0.966956883,3
0.36022808,0,0.520968316,1
0.975753036,3,0.646890698,1
0.173422963,0,0.937966143,3
0.644718446,0,0.831843003,1
0.173422963,0,0.629577218,0
0.411281933,0,0.035450554,5
0.000731163,4,0.629577218,0
0.351145207,1,0.07779351,3
0.291562422,0,0.563758121,0
0.391807889,0,0.5,0
0.109995267,5,0.013788635,2
0.109995267,5,0.014190216,2
0.089624445,6,0.16073213,2
0.380553413,0,0.449177231,0
0.338959917,0,0.557967262,0
0.005965478,6,0.019936832,0
0.004645776,0,0.421874598,0
0.5,0,0.162156131,0
0.249019597,5,0.89333988,1
0.213933714,1,0.499999964,4
0.643416901,1,0.899624037,0
0.203211346,0,0.890899361,0
0.263807181,0,0.779894738,0
0.380553413,0,0.449177231,0
0.380553413,0,0.664473142,0
0.018623802,6,0.972818217,3
0.343717151,0,0.447475661,1
0.931041175,0,0.949661977,1
0.010266432,0,0.024202427,0
0.380553413,0,0.397009775,1
0.41801683,0,0.016556181,0
0.019224701,2,0.165193794,5
0.003578614,0,0.766396368,5
0.321627529,0,0.015554166,3
0.360076715,0,0.016556181,0
0.342639222,5,0.579540838,3
0.015,0,0.064662943,2
0.380553413,0,0.556291293,4
0.026379715,0,0.021483086,0
0.859592974,0,0.019936832,0
0.380553413,0,0.5,0
0.844376773,5,0.777949077,0
0.991475514,4,0.890899361,0
0.32825293,1,0.342988927,4
0.978801256,0,0.678994662,1
0.259377124,0,0.797617425,0
0.325438236,0,0.18953783,0
0.473767218,0,0.488844132,2
0.355362279,0,0.51227831,0
0.463602109,0,0.999969675,5
0.988458659,3,0.685433986,0
0.98346521,3,0.596137897,0
0.19741216,0,0.365700317,4
0.162205583,0,0.421936991,0
0.162205583,0,0.716992476,0
0.162205583,0,0.629577218,0
0.162205583,0,0.019936832,0
0.162205583,0,0.162156131,0
0.812668528,0,0.009759006,0
0.451657721,0,0.5,0
0.842729015,4,0.777949077,0
0.810352352,0,0.18953783,0
0.975753036,3,0.18953783,0
0.041926274,1,0.36260329,2
0.093742501,0,0.997291088,1
0.09255465,1,0.882414707,0
0.845220759,5,0.679490002,0
0.636541858,1,0.219428113,5
0.380553413,0,0.019936832,0
0.434694063,0,0.938748577,0
0.957080944,2,0.890899361,0
0.506856624,0,0.57119724,4
0.949951303,6,0.634254648,0
0.5,0,0.029577218,0
0.373229797,0,0.782665336,5
0.372418455,0,0.999997441,5
0.380553413,0,0.608974359,4
0.263807181,0,0.909620529,5
0.665878126,0,0.608974359,4
0.915653036,3,0.799996576,0
0.473477602,0,0.556291293,4
0.473477602,0,0.890899361,0
0.473477602,0,0.937966143,3
0.473477602,0,0.449177231,0
0.473477602,0,0.682090809,1
0.426470588,0,0.5,0
0.324943331,5,0.575327645,0
0.015,0,0.016556181,0
0.015,0,0.697756717,5
0.969915724,3,0.957130876,5
0.263807181,0,0.593988928,0
0.263807181,0,0.882414707,0
0.266979412,0,0.336458914,0
0.990298346,6,0.449177231,0
0.263807181,0,0.427424421,2
0.263807181,0,0.68636173,1
0.071612185,0,0.899624037,0
0.353267015,0,0.899624037,0
0.468016019,0,0.449177231,0
0.54966945,2,0.339146522,0
0.430815936,0,0.797617425,0
0.030762557,0,0.168030499,4
0.5,0,0.024202427,0
0.798138749,5,0.684686115,0
0.878079075,0,0.684686115,0
0.132575316,0,0.645529461,0
0.54966945,2,0.994202822,5
0.389592606,1,0.021483086,0
0.447678459,0,0.005388814,0
0.96845693,3,0.019936832,0
0.473767218,0,0.899624037,0
0.263807181,0,0.023689801,2
0.38249421,0,0.909697163,3
0.059763612,0,0.990816035,5
0.5,0,0.899624037,0
0.05246517,0,0.162156131,0
0.5,0,0.078727802,2
0.54966945,2,0.339146522,0
0.040833274,4,0.078727802,2
0.263807181,0,0.078727802,2
0.406074503,0,0.133352126,2
0.915653036,3,0.026401061,2
0.017437123,0,0.449177231,0
0.880339605,0,0.078727802,2
0.957956933,2,0.647887924,0
0.361146975,0,0.777949077,0
0.306530515,5,0.899624037,0
0.046243273,0,0.336458914,0
0.380553413,0,0.978224126,3
0.508696586,0,0.999586604,5
0.380553413,0,0.457865887,2
0.5,0,0.156540101,1
0.006546647,0,0.556081221,0
0.088218467,0,0.882414707,0
0.935021428,0,0.892491186,5
0.069915724,3,0.015119046,0
0.473767218,0,0.122130192,0
0.020648319,3,0.799996576,0
0.380553413,0,0.40697903,1
0.991184956,0,0.000533581,3
0.380553413,0,0.18953783,0
0.81458371,0,0.503272058,0
0.152585419,0,0.425624146,4
0.178935739,0,0.970315793,5
0.408769838,0,0.985947259,3
0.631422085,4,0.021483086,0
0.030817547,0,0.503272058,0
0.026155675,2,0.999325435,1
0.246148199,1,0.997876895,3
0.353419163,0,0.128442196,2
0.300352146,0,0.313385808,4
0.22263952,1,0.18953783,0
0.162016628,5,0.991101412,5
0.359646322,1,0.947167614,2
0.00583959,0,0.797617425,0
0.806322633,4,0.667519673,0
0.265800664,0,0.80755662,5
0.188782345,0,0.108054705,1
0.936282854,3,0.99783099,5
0.263807181,0,0.110239349,0
0.395322915,0,0.27724653,2
0.188270589,0,0.676742873,3
0.170413247,0,0.899624037,0
0.996664413,0,0.246722144,1
0.30679994,0,0.84356617,0
0.915653036,3,0.519856185,0
0.85752179,3,0.890899361,0
0.174393891,0,0.974970116,3
0.263807181,0,0.503272058,0
0.146383062,0,0.503272058,0
0.219962973,0,0.024202427,0
0.168289615,0,0.009428581,0
0.380553413,0,0.566558872,0
0.857224377,0,0.503891724,0
0.5,0,0.629577218,0
0.054869763,4,0.079682351,2
0.19099653,0,0.079682351,2
0.953452736,3,0.157508249,2
0.263807181,0,0.999534894,1
0.54966945,2,0.221690427,4
0.095526872,0,0.934465662,1
0.225154337,4,0.800119923,5
0.263662962,0,0.034367285,3
0.992945399,0,0.107107882,5
0.473767218,0,0.799996576,0
0.890175008,0,0.941148013,3
0.380553413,0,0.503272058,1
0.211149311,0,0.162156131,0
0.024501352,0,0.890899361,0
0.915653036,3,0.863761326,2
0.263807181,0,0.449177231,0
0.380553413,0,0.974416979,5
0.530072814,6,0.016556181,0
0.54966945,2,0.267467237,2
0.54966945,2,0.016222393,3
0.061665444,0,0.974966412,2
0.458333333,0,0.974970116,3
0.666666667,0,0.89518123,5
0.089163792,0,0.968144748,2
0.915653036,3,0.958346061,3
0.089163792,0,0.999999519,5
0.089163792,0,0.535244231,0
0.450629296,0,0.339146522,0
0.089163792,0,0.339146522,0
0.089163792,0,0.602162174,5
0.089163792,0,0.449177231,0
0.089163792,0,0.924601914,0
0.089163792,0,0.221000582,4
0.089163792,0,0.899624037,0
0.089163792,0,0.920104997,3
0.015,0,0.002943126,2
0.089163792,0,0.699985187,4
0.990884942,6,0.999964583,3
0.042687327,0,0.021483086,0
0.54966945,2,0.629577218,0
0.10275264,5,0.979096857,5
0.089163792,0,0.629577218,0
0.089163792,0,0.569691667,0
0.878277873,0,0.036856017,5
0.508696586,0,0.004696653,3
0.508696586,0,0.682310112,0
0.964593392,0,0.775989351,4
0.613401516,1,0.909697163,3
0.869915724,3,0.044799857,3
0.947276199,0,0.517734974,0
0.40969985,0,0.797617425,0
0.216724849,0,0.313385808,4
0.286471138,0,0.503272058,0
0.915653036,3,0.937966143,3
0.380553413,0,0.912992946,3
0.414836636,0,0.992783314,5
0.54966945,2,0.308338155,2
0.263807181,0,0.162156131,0
0.052111287,4,0.963104305,5
0.233177492,0,2.39E-08,5
0.368722654,2,0.049177231,0
0.997812236,3,0.718731935,1
0.015,0,0.777949077,0
0.068233942,2,0.983351148,3
0.113032852,0,0.029577218,0
0.238558927,0,0.503272058,0
0.482447787,0,0.608974359,4
0.263807181,0,0.088491066,2
0.109995267,5,0.168670963,5
0.67640774,2,0.336458914,0
0.250255092,0,0.313385808,4
0.380553413,0,0.310728211,2
0.359941793,1,0.556291293,4
0.359941793,1,0.824749933,0
0.405456046,1,0.556291293,4
0.072379123,1,0.543770144,3
0.167527165,0,0.797617425,0
0.341423676,1,0.019936832,0
0.523708982,2,0.18953783,0
0.275849846,0,0.980268,3
0.058172713,0,0.987812142,2
0.22361809,0,0.024202427,0
0.299630845,0,0.556291293,4
0.164527065,6,0.151037998,2
0.035299514,6,0.777949077,0
0.04453008,0,0.797617425,0
0.246484987,0,0.775989351,4
0.263807181,0,0.667519348,4
0.009557362,0,0.91319122,0
0.146583907,0,0.900934815,2
0.046319054,0,0.232665476,1
0.963937409,3,0.862038576,0
0.640983378,6,0.980268,3
0.368722654,2,0.171273943,2
0.391948428,0,0.383780866,1
0.090785375,6,0.005661865,5
0.5,1,0.554027532,3
0.038548152,6,0.814500598,2
0.990403873,6,0.182135034,2
0.191264758,0,0.59994985,0
0.353185156,0,0.126218211,0
0.353185156,0,0.5283759,0
0.353185156,0,0.997876895,3
0.353185156,0,0.090969716,3
0.353185156,0,0.339146522,0
0.353185156,0,0.608974359,4
0.353185156,0,0.999255573,3
0.353185156,0,0.049177231,0
0.353185156,0,0.339146522,0
0.353185156,0,0.546990967,4
0.353185156,0,0.339146522,0
0.353185156,0,0.019936832,0
0.353185156,0,0.825576852,5
0.353185156,0,0.711359035,0
0.353185156,0,5.44E-05,5
0.353185156,0,0.777949077,0
0.353185156,0,0.049177231,0
0.353185156,0,0.708497343,1
0.353185156,0,0.579762342,0
0.353185156,0,0.503272058,0
0.353185156,0,0.449177231,0
0.353185156,0,0.18953783,0
0.353185156,0,0.149177231,0
0.130594045,5,0.440152845,4
0.048553196,0,0.984129986,5
0.063429362,0,0.339146522,0
0.099003256,3,0.633007581,0
0.359723643,0,0.929073085,5
0.195107781,0,0.929073085,5
0.661867847,5,0.797617425,0
0.015,0,0.499232439,0
0.048553196,0,0.554667646,0
0.144858012,0,0.890899361,0
0.166200241,0,0.992722783,3
0.398105941,5,0.94589557,3
0.353185156,0,0.900326205,5
0.148407078,0,0.994439442,5
0.061281986,0,0.994439442,5
0.353185156,0,0.047861692,1
0.353185156,0,0.737348543,0
0.292068188,0,0.339146522,0
0.411581043,0,0.797617425,0
0.048553196,0,0.094692244,0
0.329577804,0,0.920344335,5
0.640983378,6,0.149177231,0
0.271753514,0,0.953307054,5
0.368722654,2,0.336458914,0
0.363840312,0,0.999604793,2
0.358490566,0,0.001090678,3
0.203616373,0,0.379836861,1
0.437597847,0,0.18953783,0
0.050869659,0,0.503072373,5
0.044303612,0,0.777949077,0
0.784047283,5,0.832400632,4
0.482447787,0,0.339146522,0
0.5,0,0.226173323,5
0.30005522,0,0.684448781,3
0.448544308,0,0.503272058,0
0.290950059,0,0.538225045,0
0.050869659,0,0.028584028,3
0.465517241,0,0.592811051,0
0.050869659,0,0.149177231,0
0.003010331,5,0.029577218,0
0.088485411,6,0.313385808,4
0.050869659,0,0.890899361,0
0.54966945,2,0.01198738,0
0.197893184,0,0.169378162,2
0.399348602,0,0.052825846,2
0.050869659,0,0.339146522,0
0.192927128,0,0.971033447,3
0.192927128,0,0.021483086,0
0.473767218,0,0.830170928,0
0.368722654,2,0.378740722,2
0.086524182,0,0.629577218,0
0.368722654,2,0.980268,3
0.000211665,0,0.811434003,2
0.050869659,0,0.394505743,4
0.683937046,2,0.629577218,0
0.050869659,0,0.503272058,0
0.018623802,6,0.529494713,0
0.050869659,0,0.128442196,2
0.369836757,0,0.128442196,2
0.369836757,0,0.128442196,2
0.050869659,0,0.69515928,0
0.67207184,4,0.69515928,0
0.23146893,0,0.033832086,3
0.928978828,5,0.18953783,0
0.54966945,2,0.503272058,0
,0,0.18953783,0
,0,0.890899361,0
0.069915724,3,0.935955877,2
0.387261159,0,0.70764961,0
0.152585419,0,0.166263564,0
0.050869659,0,0.890899361,0
0.050869659,0,0.358163779,4
