,评论,得分
1,现在后排坐座椅已经加长了,0.359941793
2,资本市场没有对错,0.976365397
3,不买 万一刹不到车 不敢买,0.063429362
4,好智能,0.263807181
5,这是不是傻瓜车 是不是如果我考了驾照只需要启动 踩刹车。,0.339569415
6,我想要,0.263807181
7,买,0.508696586
8,黑屏你,0.361111111
9,正常车胎你都整爆，这个车胎换得赢矛？,0.003204751
10,给我买,0.508696586
11,特斯拉都是有自己的想法的，高兴的时候会来找你，不高兴带你去河里游泳，带你去飙车或者送你去天堂，天才之旅它和你,0.076828935
12,只要便宜 我觉得出事出不了我这,0.639525328
13,搞一个,0.663052209
14,买一个来开开,0.263807181
15,就这个，上次花小猪打的，这个天窗很恐怖,0.069915724
16,知道我为什么当时为什么买电车吗,0.953505215
17,有方向了,0.712643678
18,买买买,0.380553413
19,再降降准备奋斗了,0.380553413
20,看起来很安全,0.263807181
21,model Y还是i3还是 蔚来还是雷克萨斯es,0.396490366
22,你看那个车标那天晚上就是特斯拉就是款式丑而已,0.150217339
23,买一辆,0.380553413
24,我第一次见特斯拉就是卖一百万的时候 还是在小时候北京的高速上遇到的,0.659628944
25,这红色还不错,0.890139092
26,要不是咱们这太冷了 特斯拉真不错,0.263807181
27,看见了一个绿的 嘎嘎好看,0.380553413
28,0分，垃圾,0.209995267
29,0分，垃圾,0.209995267
30,0分，垃圾,0.209995267
31,0分，垃圾,0.209995267
32,0分，垃圾,0.209995267
33,0分，垃圾,0.209995267
34,0分，垃圾,0.209995267
35,0分，垃圾,0.209995267
36,0分会失控,0.069915724
37,0分职业赛车手开撞车了,0.166729241
38,0分自动加速！刹车失灵！,0.049594764
39,密封性一般，导致车内进灰，,0.042959466
40,100w特斯拉没见过 70w买特斯拉的我真遇到过 在2018年,0.159934461
41,100分，新能源之王，,0.95461565
42,100公里加速4秒，天啊，女司机把油门当刹车踩会咋样？,0.038567884
43,100万的跟20多的差距还是有的，虽然性价比很低。之前看到两辆停一起，大小都差很多,0.352114348
44,100万的是 S啊 不是3,0.380553413
45,100万的是s 20万的是3,0.380553413
46,100万和20万的车都不一样，一个s一个3就好比奔驰s和奔驰c,0.871089994
47,10W差不多,0.5
48,10多万的也可以,0.511523491
49,10分，很好,0.966979412
50,10分，很好,0.966979412
51,10分，很好,0.966979412
52,10万就买,0.966979412
53,120多万的特斯拉x，终身免充电，送了两个充电桩,0.213303404
54,15 w买了个电车，换电瓶14w,0.975753036
55,15w我买，另外给我老家搞好充电线路,0.357882563
56,15w应该会有人开始考虑了,0.263807181
57,15度百公里,0.232751152
58,15度倒是夸张了,0.135613314
59,15度电认真的吗？我朋友普通3都要开到23,0.08345591
60,15度你确定？,0.224565996
61,15个后黑子都黑不下去了特斯拉让黑子都没有活路啊,0.316617693
62,15万可以,0.263807181
63,15我就买,0.36022808
64,15预算买电车，除了Q我看不见别的车,0.975753036
65,18w的时候叫我 我直接买 刚好定期也到了,0.173422963
66,18的特斯拉很早以前马斯克就规划了,0.644718446
67,19w买爆,0.173422963
68,19w我直接冲，但是要这两个月，因为我的车刚撞报废了,0.411281933
69,19年的进口四长3车主，本来想换yp，就是不能调动能回收强度劝退了，还是等个二手6座x吧,0.000731163
70,19万 国产的没活路了,0.351145207
71,19万，都快比领克03还便宜，我后悔了,0.291562422
72,19万买个毛坯车,0.391807889
73,1分，垃圾,0.109995267
74,1分，垃圾,0.109995267
75,2017年特斯拉车主路过。有缺点我都能接受，因为我爱它所有的优点。,0.089624445
76,2022标续航y 新款 现在卖 是新车,0.380553413
77,2022款特斯拉modelＹ AMD芯片,0.338959917
78,2022年1月提车，正常行驶8千公里，8月8号行驶途中突然失速差点事故，检测下来说逆变器坏了,0.005965478
79,2023年了 一个纯机械的东西加布兰博四活塞卡钳 刹不住的只有小脑萎缩,0.004645776
80,20w的话，也是可以考虑的,0.5
81,20w一毕业直接拿下这价格太吊了,0.249019597
82,20w左右性价比最高还是宋PRO DMI混动绿牌！ 可以外放电，后排放平当床车，出去露营不要太爽！可油可电，百公里15度电8块钱，零百加速6秒多，电池电芯终生保修包换，还有L2自动驾驶，反正我觉得很值,0.213933714
83,20w左右性价比最高还是宋PRO DMI绿牌！ 可以外放电，后排完全放平当床车，出去露营不要太爽！可油可电，百公里15度电8块钱，零百加速6秒多，电池电芯终生保修包换，还有L2自动驾驶，反正我觉得很值,0.643416901
84,20万很多人也买不起，希望有天冲击12万。,0.203211346
85,20万可选择的车可就不止特斯拉了,0.263807181
86,20万了，还在乎刹车么。往前冲,0.380553413
87,20万我觉得大众不错,0.380553413
88,21款Y，9个月，2.6万公里，没自己黑屏过，倒是偶尔我会自动帮车机重启。22款换成AMD估计更稳定吧，。除了涨价，没啥太大的缺点，香。,0.018623802
89,21款标续Y ,0.343717151
90,22号我妈就被特斯拉撞了 看了行车记录仪 一点主动刹车都没有,0.931041175
91,22年7月标续 黑色 20轮 1.7万公里 全车原漆 隐形车衣 换22年长续航 有换的车友来商量加多少钱,0.010266432
92,27.6的标续才是王道,0.380553413
93,27万全款,0.41801683
94,2开高速噪音很大。非常耗电（这是新能源车通病）。,0.019224701
95,2月17日，美国国家公路交通安全管理局（NHTSA）宣布，将对41.6万辆特斯拉汽车展开正式调查，原因是该机构接到投诉称，特斯拉的自动驾驶辅助系统Autopilot出现了刹车意外激活的情况。,0.003578614
96,2月份下的定单，Model y长续航不想要了，这几天就可以提车,0.321627529
97,3.0你不会打2.5嘛,0.360076715
98,3.0胎压………起飞呀,0.342639222
99,3.5秒 踩一个来看看,0.015
100,3000公里y路过，全中！接受不了不要买，有不是特别推荐，小毛病和bug一大堆,0.380553413
101,30w买A+级毛胚？什么，加4w还能加高20厘米钢板？,0.026379715
102,30多万，我买野马，不买这个,0.859592974
103,30多万的车，15万的质感,0.380553413
104,30岁以下的年轻人,0.844376773
105,30岁以下的年轻人命还长，建议不要拿自己生命开玩笑,0.991475514
106,35000km的model y，没有异响，没有小毛病。,0.32825293
107,37万？还不如花十万买个燃油车。剩下的27万加油跑,0.978801256
108,37万买个A6不好？,0.259377124
109,38，x3不好？,0.325438236
110,38.79相当于38.8了,0.473767218
111,38.7万我在加几万提宝马x3它不香么,0.355362279
112,38W…考虑买个A吧,0.463602109
113,38W我就不会买这个。我北京人，排到电车指标我也不会花38W买modelY，你知道为什么嘛，因为我没有38W,0.988458659
114,38万买个电车。买台有轩逸13万，剩下加油不香吗,0.98346521
115,38万买个极客顶配不香吗,0.19741216
116,车机没那么厉害,0.162205583
117,车机没那么厉害,0.162205583
118,车机没那么厉害,0.162205583
119,车机没那么厉害,0.162205583
120,车机没那么厉害,0.162205583
121,车机还是不错的,0.812668528
122,3的悬挂很舒适啊,0.451657721
123,3和y大部分车主是小姐姐,0.842729015
124,3和y谁坐着舒服,0.810352352
125,3降到19W，Y降到22W，那国产电车真没什么买的必要了,0.975753036
126,3月份入的yp，已行驶9k公里，这车悬挂硬，但是相较于其它的性能车，这个悬挂算舒适的了，21寸的轮毂暂时没有刮蹭到，黑屏暂时没遇到，异响确实有，yp的加速确实在百万内毫无对手的存在。不推荐新手驾驶。,0.041926274
127,3月份提车，6000公里，除了减震硬，其它没发现,0.093742501
128,3座椅头枕实在形同虚设。,0.09255465
129,40的胎压能不颠？这是为了考虑续航,0.845220759
130,40w买个电动爹,0.636541858
131,40多万谁还买特斯拉？优惠后的奥迪e-tron也才这个价位，做工用料都比Model Y这玩儿意强太多了，简直秒杀,0.380553413
132,40万就买个这????,0.434694063
133,40万买个电机？买车买的是舒适性，便利性！,0.957080944
134,44.2国内啥时候能推送呢？,0.506856624
135,4680电池来了吗,0.949951303
136,4680快了,0.5
137,modelY开了6.6万公里了,0.373229797
138,4款式确实老点 16年设计的.主要是改款估计快了,0.372418455
139,4万 多少小四,0.380553413
140,5刹车踏板比油门高,0.263807181
141,5万就买,0.665878126
142,600多的理论续航，像油车那样开，冬天能开400吗？,0.915653036
143,太好了,0.473477602
144,太好了,0.473477602
145,太好了,0.473477602
146,太好了,0.473477602
147,太好了,0.473477602
148,6分吧,0.426470588
149,6个月开了1.8w。把胎压降到2.7。目前没有黑过屏,0.324943331
150,7分，还行,0.015
151,8分，还行,0.015
152,7年老司机，换过五辆车以上，特斯拉是开起来最爽的。,0.969915724
153,7万可以考虑，20万以上只认比亚迪,0.263807181
154,7万我都拿不出手，让我火花30,0.263807181
155,10分,0.266979412
156,90%国产。宁德电池。比亚迪零部件供应。比亚迪才是最好的。高考作文题参考资料都引用了比亚迪。你说呢,0.990298346
157,9分，还好,0.263807181
158,9分，还好,0.263807181
159,太差了,0.071612185
160,Amd的处理器，啥型号啊,0.353267015
161,BYD不香吗？,0.468016019
162,ci了就是技术问题,0.54966945
163,diao丝神车,0.430815936
