tsl,byd
0.941956399,0.628065978
0.976365397,0.678982411
0.063429362,0.794311091
0.545454545,0.726726806
0.339569415,0.065187072
0.544178991,0.513619252
0.508696586,0.699459094
0.361111111,0.627059149
0.003204751,0.452456384
0.508696586,0.526709625
0.876828935,0.795533671
0.639525328,0.473767218
0.663052209,0.895372596
0.608399109,0.61365583
0.299157236,0.827572938
0.953505215,0.130130898
0.712643678,0.606135181
0.736600652,0.467891614
0.696477994,0.908876298
0.587521243,0.380351856
0.396490366,0.878935401
0.150217339,0.876073501
0.697695091,0.245078107
0.659628944,0.122086213
0.890139092,0.180671925
0.535891117,0.037270411
0.75637164,0.746576012
0.088734541,0.784939653
0.088734541,0.5
0.088734541,0.999813157
0.088734541,0.602196167
0.088734541,0.41592351
0.088734541,0.021086361
0.088734541,0.141019654
0.088734541,0.250128182
0.473767218,0.687153278
0.166729241,0.418037765
0.049594764,0.086804364
0.042959466,0.726172152
0.159934461,0.542150574
0.95461565,0.717720112
0.038567884,0.000439574
0.352114348,0.326991424
0.706398172,0.117956075
0.713486362,0.999992371
0.871089994,0.627111487
0.5,0.279399091
0.511523491,0.205586772
0.966979412,0.5
0.966979412,0.521597335
0.966979412,0.020254259
0.966979412,0.147480016
0.213303404,0.827902385
0.757530355,0.395303839
0.357882563,0.102288696
0.528235233,1.81E-06
0.232751152,0.447507984
0.135613314,0.004206522
0.08345591,0.025191603
0.224565996,0.737201173
0.316617693,0.289234664
0.537597485,0.640751721
0.36022808,0.520968316
0.76329735,0.646890698
0.173422963,0.330135993
0.644718446,0.831843003
0.173422963,0.261277978
0.411281933,0.035450554
0.000731163,0.280152125
0.351145207,0.07779351
0.291562422,0.563758121
0.391807889,0.5
0.088734541,0.013788635
0.088734541,0.014190216
0.883038488,0.16073213
0.776469927,0.379052781
0.338959917,0.557967262
0.005965478,0.191205081
0.004645776,0.421874598
0.5,0.473767218
0.249019597,0.89333988
0.213933714,0.99999964
0.643416901,0.895485396
0.203211346,0.74402962
0.555628073,0.779894738
0.794768011,0.373390688
0.802497445,0.664473142
0.750679846,0.972818217
0.343717151,0.447475661
0.931041175,0.949661977
0.010266432,0.237320582
0.798606069,0.397009775
0.41801683,0.147838493
0.019224701,0.165193794
0.003578614,0.766396368
0.321627529,0.015554166
0.360076715,0.157382274
0.342639222,0.579540838
0.498117292,0.064662943
0.718949348,0.789999471
0.026379715,0.205350473
0.859592974,0.180161261
0.805534132,0.5
0.844376773,0.967388536
0.991475514,0.731122348
0.32825293,0.342988927
0.978801256,0.678994662
0.259377124,0.990997151
0.325438236,0.621472294
0.473767218,0.488844132
0.355362279,0.51227831
0.463602109,0.999969675
0.988458659,0.685433986
0.98346521,0.596137897
0.19741216,0.365700317
0.162205583,0.421936991
0.162205583,0.716992476
0.162205583,0.246688803
0.162205583,0.193208492
0.162205583,0.061121629
0.812668528,0.009759006
0.451657721,0.5
0.842729015,0.964266059
0.810352352,0.60564797
0.689142686,0.605605552
0.041926274,0.619443354
0.093742501,0.997291088
0.09255465,0.791521926
0.845220759,0.679490002
0.636541858,0.219428113
0.761215249,0.18504754
0.434694063,0.938748577
0.957080944,0.748305085
0.506856624,0.57119724
0.496074068,0.634254648
0.5,0.291133087
0.373229797,0.782665336
0.372418455,0.999997441
0.72723806,0.848772488
0.584301788,0.406296537
0.665878126,0.839865196
0.542565753,0.998205975
0.473477602,0.804879171
0.473477602,0.736087133
0.473477602,0.341273846
0.473477602,0.365210639
0.473477602,0.682090809
0.426470588,0.5
0.324943331,0.575327645
0.498334331,0.156993455
0.498334331,0.697756717
0.281599026,0.957130876
0.605733637,0.593988928
0.538569271,0.814969877
0.266979412,0.034816111
0.990298346,0.365725693
0.608143223,0.427424421
0.608143223,0.68636173
0.071612185,0.890142453
0.353267015,0.890142453
0.468016019,0.391354129
0.430228674,0.343091131
0.430815936,0.996664413
0.030762557,0.168030499
0.5,0.238755748
0.798138749,0.904671049
0.878079075,0.900422422
0.132575316,0.645529461
0.256109421,0.994202822
0.389592606,0.21125563
0.447678459,0.005388814
0.06845693,0.191832603
0.473767218,0.868065197
0.514963069,0.023689801
0.38249421,0.496971627
0.059763612,0.990816035
0.5,0.84379389
0.05246517,0.49177231
0.5,0.078727802
0.253739511,0.356675946
0.040833274,0.078727802
0.629707269,0.078727802
0.406074503,0.133352126
0.722117619,0.026401061
0.017437123,0.419793974
0.880339605,0.078727802
0.957956933,0.647887924
0.361146975,0.966487005
0.306530515,0.884580011
0.046243273,0.302469572
0.785291043,0.978224126
0.508696586,0.999586604
0.712651688,0.552807546
0.5,0.156540101
0.006546647,0.556081221
